# name	sector	stage	founded	teamSize	tags	tagline
99acres	Consumer	Public	2005	1001-5000	real estate, marketplace, classifieds	India's largest property listings marketplace
ACKO	Fintech	Series C+	2016	1001-5000	insurance, insurtech, auto	Digital-first general and health insurer
ACME Solar	Deeptech	Public	2015	501-1000	solar, renewables, IPP	Utility-scale solar and hybrid power producer
Absolute	Other	Series A	2016	201-500	agritech, bioscience, crop inputs	Bioscience platform for regenerative agriculture
Adda247	Edtech	Series C+	2016	1001-5000	test prep, government exams, vernacular	Test prep for Indian government job exams
Adobe India	SaaS	Public	1997	5000+	creative software, GCC, enterprise	Adobe's largest engineering centre outside the US
Amazon India	Consumer	Public	2013	5000+	e-commerce, marketplace, cloud	Amazon's NCR development and business centre
Ambrane India	D2C	Bootstrapped	2012	201-500	power banks, accessories, electronics	Power banks and mobile accessories brand
American Express India	Fintech	Public	1998	5000+	payments, cards, GCC	Amex's global service and technology hub
Amplus Solar	Deeptech	Acquired	2013	201-500	rooftop solar, C&I, energy	Rooftop and open-access solar for businesses
Angel One	Fintech	Public	1996	5000+	broking, investing, wealth	Full-service broker turned discount trading app
Apna	Consumer	Series C+	2019	501-1000	jobs, blue collar, hiring	Job discovery network for blue and grey collar work
Appinventiv	SaaS	Bootstrapped	2015	1001-5000	app development, services, IT	App and product engineering services firm
Aristocrat Technologies	Gaming	Public	2013	1001-5000	gaming, slots, GCC	Gaming tech giant's India engineering centre
Arya.ag	Other	Series C+	2013	501-1000	agritech, warehousing, financing	Grain warehousing and post-harvest financing
Attero Recycling	Deeptech	Series C+	2008	201-500	e-waste, battery recycling, circular	E-waste and lithium-ion battery recycler
Awign	SaaS	Acquired	2016	201-500	gig work, staffing, operations	Managed gig workforce for enterprise operations
Aye Finance	Fintech	Series C+	2014	5000+	msme lending, nbfc, credit	NBFC lending to micro and small enterprises
BYJU'S	Edtech	Series C+	2011	5000+	k12, learning app, test prep	Learning app for school students
BYJU'S Exam Prep	Edtech	Acquired	2015	501-1000	test prep, competitive exams	Competitive exam prep, formerly Gradeup
Battery Smart	Deeptech	Series C+	2019	501-1000	battery swapping, ev, two wheeler	Battery swapping network for electric two- and three-wheelers
Betterplace	SaaS	Series C+	2015	501-1000	hr tech, frontline, workforce	Full-stack HR platform for frontline workers
BharatPe	Fintech	Series C+	2018	1001-5000	upi, merchant payments, lending	QR payments and credit for small merchants
Bharti Airtel	Other	Public	1995	5000+	telecom, connectivity, dth	India's second-largest telecom operator
Bikanervala	Consumer	Bootstrapped	1950	5000+	sweets, restaurants, fmcg	Sweets and namkeen chain turned packaged foods brand
Bira 91	D2C	Series C+	2015	501-1000	craft beer, beverages, alcobev	Craft beer brand that reset Indian beer taste
Biryani By Kilo	Consumer	Series B	2015	1001-5000	cloud kitchen, food, qsr	Handi-cooked biryani delivered nationwide
Bisleri	Consumer	Bootstrapped	1969	1001-5000	packaged water, beverages, fmcg	India's original packaged drinking water brand
Bizongo	Logistics	Series C+	2015	501-1000	b2b, packaging, supply chain	B2B supply chain platform for custom packaging
Blinkit	Consumer	Acquired	2013	5000+	quick commerce, grocery, delivery	10-minute grocery delivery, owned by Eternal
BluSmart	Consumer	Series C+	2019	1001-5000	ev, ride hailing, mobility	All-electric ride-hailing fleet across NCR and Bengaluru
Blue Tokai Coffee Roasters	Consumer	Series B	2013	501-1000	coffee, cafes, specialty	Specialty coffee roaster and cafe chain
Bombay Shaving Company	D2C	Series C+	2016	201-500	grooming, personal care, d2c	Men's grooming and personal care brand
BookMyShow	Consumer	Series C+	1999	1001-5000	ticketing, events, entertainment	India's dominant movie and event ticketing platform
Boult	D2C	Series A	2017	201-500	audio, wearables, electronics	Audio wearables brand competing on price and design
Burger Singh	Consumer	Series B	2014	501-1000	qsr, burgers, franchise	Indian-flavoured burger QSR chain
CARS24	Consumer	Series C+	2015	5000+	used cars, marketplace, auto	Used-car marketplace with instant sale and financing
Camp K12	Edtech	Series A	2010	51-200	coding for kids, live classes	Live online coding school for school kids
Cashfree Payments	Fintech	Series C+	2015	501-1000	payments, payouts, api	Payments and payouts API for Indian businesses
Chaayos	Consumer	Series C+	2012	1001-5000	chai, cafes, f&b	Chai cafe chain built on customisation
Chakr Innovation	Deeptech	Series A	2016	51-200	emissions, air quality, cleantech	Captures diesel-genset soot and turns it into ink
Chargeup	Deeptech	Series A	2019	51-200	battery swapping, e-rickshaw, ev	Battery-as-a-service for e-rickshaw drivers
Chiratae Ventures	Other	VC	2006	51-200	venture capital, early stage	Early-stage technology VC, formerly IDG Ventures India
CityMall	Consumer	Series C+	2019	501-1000	community commerce, tier 2, grocery	Community-group commerce for tier-2 and tier-3 India
Classplus	Edtech	Series C+	2018	501-1000	saas, educators, creator economy	Shopify for educators — app and payments for coaching
Cleartrip	Consumer	Acquired	2006	1001-5000	travel, flights, hotels	Travel booking platform owned by Flipkart
Clovia	D2C	Acquired	2015	501-1000	lingerie, apparel, d2c	Lingerie and sleepwear brand, part of Reliance Retail
Country Delight	D2C	Series C+	2011	1001-5000	dairy, subscription, fresh	Subscription milk and daily fresh essentials
Coursera India	Edtech	Public	2018	201-500	online learning, mooc, upskilling	Coursera's India engineering and market team
Cult.fit	Healthtech	Series C+	2016	5000+	fitness, gyms, wellness	Fitness centres and health subscriptions
Cvent India	SaaS	Public	2004	1001-5000	event tech, saas, gcc	Event management software's India engineering hub
DLF Limited	Other	Public	1946	1001-5000	real estate, commercial, developer	Developer of Cyber City — NCR's office landlord
Daffodil Software	SaaS	Bootstrapped	2006	501-1000	software services, product engineering	Product engineering services firm
Dailyhunt	Consumer	Series C+	2007	1001-5000	news, vernacular, content	Vernacular news and content aggregator
Damco Solutions	SaaS	Bootstrapped	1996	501-1000	it services, consulting, enterprise	IT services and digital transformation firm
Darwinbox	SaaS	Series C+	2015	501-1000	hr tech, hcm, enterprise	Enterprise HR suite used across Asia
DeHaat	Other	Series C+	2012	1001-5000	agritech, farmers, inputs	Full-stack agri platform for smallholder farmers
DealShare	Consumer	Series C+	2018	1001-5000	social commerce, value retail	Value-focused grocery commerce for mass India
Delhivery	Logistics	Public	2011	5000+	logistics, supply chain, express	India's largest integrated logistics network
Digit Insurance	Fintech	Public	2016	1001-5000	insurance, general, insurtech	Simplified general insurance, backed by Fairfax
Dixon Technologies	Deeptech	Public	1993	5000+	electronics manufacturing, ems, pli	India's largest contract electronics manufacturer
Doubtnut	Edtech	Acquired	2016	201-500	doubt solving, vernacular, k12	Photo-based doubt solving for school students
Droom	Consumer	Series C+	2014	501-1000	used vehicles, marketplace, auto	Online marketplace for used cars and two-wheelers
EXL Service	Other	Public	1999	5000+	analytics, bpo, operations	Analytics and operations management firm
EaseMyTrip	Consumer	Public	2008	1001-5000	travel, flights, otm	Zero-convenience-fee online travel agency
ElasticRun	Logistics	Series C+	2016	1001-5000	kirana, distribution, rural	Rural distribution network built on kirana stores
Elevation Capital	Other	VC	2002	51-200	venture capital, early stage	Early-stage VC, formerly SAIF Partners
EnKash	Fintech	Series B	2018	201-500	spend management, corporate cards	Spend management and corporate cards for businesses
Entrackr	Other	Seed	2016	11-50	media, startup news, journalism	Startup newsroom known for funding scoops
Epigamia	D2C	Series C+	2013	501-1000	greek yogurt, dairy, fmcg	Greek yogurt brand that created the category in India
Eruditus	Edtech	Series C+	2010	1001-5000	executive education, universities	Executive education with global universities
Escorts Kubota	Other	Public	1944	5000+	tractors, farm equipment, manufacturing	Tractor and construction equipment maker
Eternal	Consumer	Public	2008	5000+	holding company, food delivery, quick commerce	Holding company for Zomato, Blinkit and District
Euler Motors	Deeptech	Series C+	2018	501-1000	electric vehicles, cargo, three wheeler	Electric cargo three-wheelers built for Indian loads
Even Healthcare	Healthtech	Series A	2020	201-500	healthcare, membership, primary care	Healthcare membership with managed primary care
Eximius Ventures	Other	VC	2021	11-50	venture capital, pre seed	Pre-seed fund backing first-time Indian founders
Exotel	SaaS	Series C+	2011	501-1000	cpaas, voice, customer engagement	Cloud communications platform for customer calls
Expedia Group	Consumer	Public	2008	1001-5000	travel, otm, gcc	Expedia's India technology and operations centre
FabHotels	Consumer	Series C+	2014	501-1000	budget hotels, travel, franchise	Budget hotel chain across Indian business cities
Fabindia	Consumer	Series C+	1960	5000+	handloom, apparel, retail	Handloom-led apparel and home retail chain
Farmley	D2C	Series B	2017	201-500	healthy snacks, dry fruits, fmcg	Healthy snacking brand built on dry fruits and seeds
Fashinza	Consumer	Series C+	2020	501-1000	apparel sourcing, b2b, manufacturing	B2B apparel sourcing and manufacturing platform
Fiserv India	Fintech	Public	2003	5000+	payments, banking tech, gcc	Payments technology giant's India centre
Fourth Partner Energy	Deeptech	Series C+	2010	501-1000	solar, c&i, distributed energy	Distributed solar for commercial and industrial users
Foxtale	D2C	Series B	2021	51-200	skincare, beauty, d2c	Fast-growing science-led skincare brand
Fractal Analytics	AI	Series C+	2000	5000+	ai, analytics, enterprise	AI and analytics partner to Fortune 500 firms
Freecharge	Fintech	Acquired	2010	201-500	payments, wallet, digital banking	Payments and digital banking arm of Axis Bank
FreshToHome	D2C	Series C+	2015	1001-5000	meat, seafood, fresh	Preservative-free fish and meat delivery
Genpact	Other	Public	1997	5000+	bpm, analytics, consulting	Business process and digital operations firm spun out of GE
GlobalLogic	SaaS	Acquired	2000	5000+	product engineering, hitachi, services	Digital product engineering firm owned by Hitachi
Goibibo	Consumer	Acquired	2009	1001-5000	travel, hotels, flights	Travel booking brand within the MakeMyTrip group
Google India	Other	Public	2004	5000+	search, cloud, gcc	Google's Gurugram sales and engineering office
Great Learning	Edtech	Acquired	2013	1001-5000	upskilling, professional courses	Professional upskilling programmes, owned by BYJU'S
GreyOrange	Logistics	Series C+	2011	501-1000	warehouse robotics, automation, ai	Warehouse robots and fulfilment software
Grip Invest	Fintech	Series B	2020	51-200	alternative investments, bonds, retail	Alternative fixed-income investing for retail investors
Gupshup	SaaS	Series C+	2004	1001-5000	conversational messaging, cpaas, whatsapp	Conversational messaging platform for businesses
HCLTech	Other	Public	1976	5000+	it services, engineering, enterprise	IT services major headquartered in Noida
HROne	SaaS	Series A	2016	201-500	hr software, payroll, hcm	HR and payroll software for Indian mid-market
HT Media	Other	Public	1924	5000+	media, newspapers, digital	Hindustan Times' media and digital business
Haldiram's	Consumer	Bootstrapped	1937	5000+	snacks, sweets, fmcg	India's biggest packaged snacks and sweets brand
Havells India	Deeptech	Public	1958	5000+	electricals, appliances, manufacturing	Electrical equipment and consumer appliances maker
HealthKart	D2C	Series C+	2011	1001-5000	nutrition, supplements, retail	Sports nutrition and supplements retailer
Hero Electric	Deeptech	Series C+	2007	501-1000	electric two wheeler, ev, mobility	Electric two-wheeler maker
Hero MotoCorp	Other	Public	1984	5000+	two wheeler, manufacturing, mobility	World's largest two-wheeler manufacturer by volume
Hike	Gaming	Series C+	2012	51-200	gaming, real money, social	Pivoted from messaging to real-money gaming with Rush
Honasa Consumer (Mamaearth)	D2C	Public	2016	1001-5000	beauty, personal care, d2c	House of D2C beauty brands led by Mamaearth
Hop Electric	Deeptech	Series A	2019	201-500	electric two wheeler, ev	Electric scooters and motorcycles for daily commutes
INDmoney	Fintech	Series C+	2019	501-1000	wealth, us stocks, investing	Super app for investing, including US stocks
Inc42 Media	Other	Series A	2014	51-200	media, startup news, research	Startup media and research platform
Indifi	Fintech	Series C+	2015	201-500	msme lending, embedded finance	Embedded lending for small businesses
Info Edge (Naukri.com)	Consumer	Public	1995	5000+	jobs, classifieds, internet	Runs Naukri, 99acres, Jeevansathi and Shiksha
Info Edge Ventures	Other	VC	2019	11-50	venture capital, early stage	Info Edge's early-stage venture arm
Infogain	SaaS	Acquired	1990	5000+	digital engineering, services, enterprise	Digital platform engineering services firm
Innefu Labs	AI	Series A	2011	201-500	ai, security, video analytics	AI for defence, policing and video analytics
Innovaccer	Healthtech	Series C+	2014	1001-5000	healthcare data, us healthcare, ai	Healthcare data platform for US providers
Innoviti	Fintech	Series C+	2002	501-1000	payments, pos, merchant	Payment technology for offline retail
Inshorts	Consumer	Series C+	2013	201-500	news, short form, content	60-word news summaries app
InsuranceDekho	Fintech	Series C+	2016	1001-5000	insurance, distribution, insurtech	Insurance distribution network across small-town India
Iris Software	SaaS	Bootstrapped	1993	1001-5000	it services, bfsi, engineering	IT services firm focused on financial services
Jeevansathi	Consumer	Public	1998	201-500	matrimony, classifieds	Matrimony platform from the Info Edge stable
Jumbotail	Consumer	Series C+	2015	501-1000	b2b, kirana, grocery	B2B marketplace and distribution for kirana stores
Juspay	Fintech	Series C+	2012	501-1000	payments, orchestration, upi	Payments orchestration behind much of Indian checkout
Khatabook	Fintech	Series C+	2018	201-500	bookkeeping, msme, ledger	Digital ledger and payments for small merchants
Knowlarity	SaaS	Acquired	2009	201-500	cloud telephony, cpaas	Cloud telephony provider, now part of Gupshup
Kwan Entertainment	Consumer	Series B	2009	201-500	talent management, celebrity, media	Celebrity and creator talent management agency
LambdaTest	SaaS	Series C+	2017	501-1000	testing, devtools, cloud	Cloud platform for cross-browser and app testing
Lava International	Deeptech	Series C+	2009	5000+	smartphones, manufacturing, electronics	Indian smartphone brand and contract manufacturer
LeadSquared	SaaS	Series C+	2011	1001-5000	crm, sales automation, saas	Sales execution CRM for high-velocity sales teams
Lendingkart	Fintech	Series C+	2014	501-1000	msme lending, nbfc, credit	Data-led working capital lending to small businesses
Lenskart	D2C	Public	2010	5000+	eyewear, omnichannel, retail	Omnichannel eyewear brand with in-house manufacturing
Lightspeed India	Other	VC	2015	11-50	venture capital, early stage	India arm of the global Lightspeed venture platform
LimeRoad	Consumer	Acquired	2012	51-200	fashion, marketplace, social commerce	Fashion discovery marketplace, acquired by V-Mart
Livguard	Deeptech	Series C+	2000	1001-5000	batteries, inverters, energy storage	Batteries, inverters and residential energy storage
Livspace	Consumer	Series C+	2014	1001-5000	interiors, home, marketplace	End-to-end home interiors platform
Lohum	Deeptech	Series B	2018	201-500	battery recycling, lithium, circular	Lithium-ion battery recycling and second-life packs
Loom Solar	Deeptech	Series A	2018	51-200	solar panels, manufacturing, d2c	Solar panel maker selling direct to homes
Luminous Power	Deeptech	Acquired	1988	5000+	inverters, batteries, solar	Power backup and solar brand owned by Schneider
MPL	Gaming	Series C+	2018	501-1000	esports, real money gaming, skill games	Mobile skill-gaming and esports platform
MagicBricks	Consumer	Acquired	2006	1001-5000	real estate, listings, classifieds	Property portal owned by Times Internet
MakeMyTrip	Consumer	Public	2000	5000+	travel, flights, hotels	India's largest online travel company
Maruti Suzuki	Other	Public	1981	5000+	automotive, manufacturing, cars	India's largest passenger car maker
Mastercard India	Fintech	Public	2000	1001-5000	payments, cards, gcc	Mastercard's India technology and market office
Max Healthcare	Healthtech	Public	2000	5000+	hospitals, healthcare, providers	Hospital network across North India
Medanta	Healthtech	Public	2009	5000+	hospitals, multi specialty, healthcare	Multi-super-specialty hospital group
MediBuddy	Healthtech	Series C+	2000	1001-5000	telehealth, benefits, healthcare	Digital healthcare and corporate health benefits
Mercer Mettl	SaaS	Acquired	2009	501-1000	assessments, hiring, proctoring	Online assessment and remote proctoring platform
Micromax	Deeptech	Series C+	2000	1001-5000	smartphones, electronics, manufacturing	Once India's top phone brand, now manufacturing-led
Microsoft India	SaaS	Public	1990	5000+	cloud, enterprise software, gcc	Microsoft's Gurugram sales and solutions office
MobiKwik	Fintech	Public	2009	501-1000	wallet, payments, credit	Payments wallet and consumer credit platform
Moglix	Other	Series C+	2015	1001-5000	b2b, industrial supplies, procurement	B2B commerce platform for industrial supplies
Mswipe	Fintech	Series C+	2011	1001-5000	pos, merchant acquiring, payments	Card and QR acceptance for small merchants
MuscleBlaze	D2C	Series C+	2012	201-500	sports nutrition, supplements	Sports nutrition brand within the HealthKart group
Myntra	Consumer	Acquired	2007	5000+	fashion, e-commerce, flipkart	Fashion e-commerce platform owned by Flipkart
NDTV	Other	Public	1988	1001-5000	news, broadcast, media	News broadcaster, now part of the Adani group
